#'chr'	'start'	'end'	'CM_control_ATAC_S165169_REP1.mLb.clN.bigWig'	'CM_24h_ATAC_S165170_REP1.mLb.clN.bigWig'	'CM_48h_ATAC_S165167_REP1.mLb.clN.bigWig'	'SH_control_ATAC_S165166_REP1.mLb.clN.bigWig'	'SH_24h_ATAC_S165164_REP1.mLb.clN.bigWig'	'SH_48h_ATAC_S165165_REP1.mLb.clN.bigWig'	'CM_DMSO_ctrl_rep1_REP1.mLb.clN.bigWig'	'CM_DMSO_ctrl_rep2_REP1.mLb.clN.bigWig'	'CM_24h_rep1_REP1.mLb.clN.bigWig'	'CM_24h_rep2_REP1.mLb.clN.bigWig'	'CM_48h_rep1_REP1.mLb.clN.bigWig'	'CM_48h_rep2_REP1.mLb.clN.bigWig'	'SH_DMSO_ctrl_rep1_REP1.mLb.clN.bigWig'	'SH_DMSO_ctrl_rep2_REP1.mLb.clN.bigWig'	'SH_24h_rep1_REP1.mLb.clN.bigWig'	'SH_24h_rep2_REP1.mLb.clN.bigWig'	'SH_48h_rep1_REP1.mLb.clN.bigWig'	'SH_48h_rep2_REP1.mLb.clN.bigWig'
13	33212947	33264201	0.13863996325646744	0.17452249028979905	0.12156322998816833	0.13784710667949235	0.11696538682598731	0.14845592393473253	0.14164580304665822	0.09262646121924457	0.10515562649232685	0.09126447230072607	0.18613019126255953	0.09307334472203455	0.15670559095211878	0.16297544433733013	0.11615673578642428	0.11470622691620949	0.11259852751993571	0.15398342632643816
13	45189747	45243251	0.12469365833234729	0.1297678410694899	0.09420279842392494	0.11291835608299193	0.09600372399719687	0.09006503348011294	0.16270566881886236	0.1095927337741189	0.11301567543235116	0.11391666767843706	0.26975168160754304	0.11221956329846457	0.12536068996185368	0.1211177680263033	0.10245336915187105	0.09795417271662477	0.10625332123916083	0.142407070288369
16	24970997	25011251	0.16979196036781172	0.18683639801366578	0.1417647475825921	0.22793322326858495	0.2133097427397549	0.18787325673058647	0.197648449865708	0.1275885306077825	0.134272128794641	0.12535413365324727	0.24976912825455988	0.12771975689709986	0.1761065429161221	0.15307912917407554	0.1388628352036972	0.13688893116638956	0.13172304723350667	0.19269182432935897
16	50183447	50211701	0.14650302739938081	0.16290716080939663	0.10252722287802966	0.181805164841074	0.1875044921669856	0.18934483308171482	0.17053323599267597	0.12581695031754156	0.14817594570847117	0.11471914177213674	0.19657886180627218	0.11781336937822594	0.16901057706423364	0.18005626594763305	0.13548385259861404	0.11570179741390327	0.14747030144784698	0.16266259120429635
16	57168997	57204301	0.3019898582616604	0.4028841150494872	0.3151191555235434	0.2370531893105463	0.22346323145559177	0.279588222425042	0.36282405232915	0.2182616506180995	0.2896964857419768	0.2219430577678215	0.44099302117089334	0.22226755066303158	0.23120347212663128	0.22396977858541828	0.1786898150117064	0.19818379085340995	0.22277775760246468	0.32788048896567173
16	75242947	75261051	0.6515560737121634	0.6074965909284709	0.4886325339905977	0.7779323032034805	0.5449248856864655	0.6071272897664274	0.8361050140345337	0.5058165558092882	0.5308301408342024	0.4916814613615022	0.9061727219478941	0.38861481711328466	0.7116809055821907	0.7184586140298524	0.48812643977273396	0.510169936798762	0.45315216495971394	0.6512797059865857
7	18492447	18592001	0.1341095117686181	0.17558257226241758	0.11667154867132976	0.2894905261667862	0.3097182090812629	0.22688895127633063	0.12108185184277376	0.08629222039014439	0.1128030389806646	0.09346007922744966	0.19612851267972928	0.08850059602430405	0.1876805365405674	0.17134965778815736	0.14064733257794357	0.1569387871358375	0.13619443694766298	0.1829814664231314
7	23449697	23478301	0.41371451954771526	0.5130708935621705	0.47745047761685194	0.6776579179165231	0.7018614605360398	0.5877704396341848	0.3597839850046435	0.27609650910554	0.3113168877397507	0.3036718136857086	0.4106855756129171	0.31679250475748055	0.3725626266520814	0.4667092634873316	0.36890137880111273	0.3940114492558878	0.40142030506373816	0.5666161270704924
7	130355747	130375151	0.5586726336297518	0.48268213190382836	0.42030274853443805	0.48678574938662533	0.36750334138143026	0.3308372581598302	0.6380929711850846	0.30015693736269816	0.394155982358885	0.4214020420051748	0.761278953863117	0.3058823743018512	0.43808291520722137	0.39888980798939505	0.32935893063555516	0.33164830033239473	0.36169066389686927	0.5091136743112498
7	130880747	130926401	0.23886883230675804	0.2938057354334484	0.21431626191616593	0.4266403215981167	0.28293532066402943	0.3627827384585878	0.49207122010262	0.2865618609237363	0.36159497689371056	0.3107513889090221	0.544262702346406	0.2955510935208266	0.346449821937044	0.2981157775091034	0.2414864784787722	0.23988850735943043	0.23824672548889872	0.29309929408193197
