'chr'	'start'	'end'	'CM_24h_ATAC_S165170_REP1.mLb.clN.bigWig'	'CM_24h_ATAC_S165170_REP2.mLb.clN.bigWig'	'CM_48h_ATAC_S165167_REP1.mLb.clN.bigWig'	'CM_48h_ATAC_S165167_REP2.mLb.clN.bigWig'	'CM_control_ATAC_S165169_REP1.mLb.clN.bigWig'	'CM_control_ATAC_S165169_REP2.mLb.clN.bigWig'	'SH_24h_ATAC_S165164_REP1.mLb.clN.bigWig'	'SH_24h_ATAC_S165164_REP2.mLb.clN.bigWig'	'SH_48h_ATAC_S165165_REP1.mLb.clN.bigWig'	'SH_48h_ATAC_S165165_REP2.mLb.clN.bigWig'	'SH_control_ATAC_S165166_REP1.mLb.clN.bigWig'	'SH_control_ATAC_S165166_REP2.mLb.clN.bigWig'
1	7290697	7314151	0.209569416783	0.209116199586	0.163486378288	0.164226711533	0.153358182116	0.147256514423	0.22698984356	0.283289883562	0.284077441716	0.308633533447	0.271506842673	0.321474839152
1	8497911	8529001	0.274564238257	0.217942663482	0.129447026719	0.193477776846	0.230091602605	0.219220655933	0.196045354707	0.256330959885	0.174859570781	0.239411813318	0.234968046362	0.24946084264
1	16247247	16280801	0.13462435837	0.139425091771	0.112120053816	0.101468576718	0.131902961327	0.130478069869	0.146406058778	0.158196360028	0.187312865231	0.183452085319	0.157019764746	0.14183160324
1	19189097	19213501	0.277619411842	0.275325671053	0.174541734162	0.168016346468	0.212284433192	0.151675292306	0.223422972432	0.262718037219	0.293536866122	0.26112413316	0.269822244771	0.258526891782
1	25450497	25484801	0.085625562851	0.0843070177843	0.0725203652133	0.064460168195	0.0867244327252	0.0893734296181	0.0896983052819	0.0841317174207	0.0803949860959	0.071291354071	0.0854047095222	0.0933698178802
1	27426947	27460601	0.143608134074	0.166811993652	0.100367190083	0.113706257868	0.126192140333	0.121023738577	0.102070559707	0.118657036749	0.117839805582	0.125314194313	0.0866128526086	0.094932238406
1	31609247	31641616	0.244068491171	0.258802913029	0.193307874832	0.173146504362	0.222575647119	0.206700087361	0.298076656951	0.272472310029	0.279215748372	0.339592374454	0.318894963217	0.29945048592
1	32030797	32065401	0.183023695262	0.227455904297	0.183075517582	0.117742847085	0.147501212589	0.175159564203	0.176619720719	0.15513596932	0.208431027115	0.190418612689	0.171626957363	0.145070820578
1	32126547	32165051	0.173133010805	0.147277843276	0.0964172099554	0.115494357515	0.161272454242	0.121270908173	0.126647941993	0.135331355225	0.121028798253	0.124575789392	0.123258154811	0.146516189465
1	33324096	33346897	0.174045724089	0.193972888363	0.146873342351	0.14232133164	0.164635491069	0.186970426332	0.221169330261	0.230341693199	0.223587390464	0.231580957774	0.254954627592	0.223035699908
1	36159897	36188201	0.15159044677	0.187750623483	0.100023086857	0.0912300583985	0.15868841993	0.142442270041	0.200522315776	0.179637649672	0.179198999949	0.19588781112	0.17670791122	0.184664314974
1	37995497	38030851	0.354675127486	0.314794583571	0.243799985883	0.213290652232	0.2921341159	0.294954874427	0.395485468346	0.357988316642	0.448197971391	0.362126285918	0.393505134103	0.434659019243
1	40048747	40077151	0.106094345429	0.091136971021	0.0618131506368	0.06212241711	0.0813843782755	0.0788074640509	0.109450369739	0.110004609639	0.101097336611	0.093275559578	0.0909889101499	0.0982940454134
1	43547297	43578351	0.190051568445	0.188748902843	0.155094568863	0.122180607007	0.149675265538	0.152604253375	0.197780162278	0.224154645527	0.230090771017	0.217097992624	0.231311579835	0.245706987878
1	53107797	53122451	0.404530867683	0.404820079	0.358466062728	0.310470608802	0.420527466877	0.394722018674	0.198927703395	0.194314309652	0.249263239338	0.246552639668	0.225799661537	0.232409817276
1	64864197	64934651	0.18154725263	0.176878461403	0.138001579657	0.124574536766	0.156163311331	0.173094408623	0.175400316737	0.174421820141	0.171227793807	0.177357411875	0.177763540869	0.164738529926
1	66671747	66697501	0.157517483806	0.148775593904	0.121550066775	0.113831304814	0.191951256622	0.139704435404	0.100656264318	0.129705709353	0.0873318865496	0.0784548661007	0.0971781558753	0.0996762754003
