'chr'	'start'	'end'	'CM_24h_ATAC_S165170_REP1.mLb.clN.bigWig'	'CM_24h_ATAC_S165170_REP2.mLb.clN.bigWig'	'CM_48h_ATAC_S165167_REP1.mLb.clN.bigWig'	'CM_48h_ATAC_S165167_REP2.mLb.clN.bigWig'	'CM_control_ATAC_S165169_REP1.mLb.clN.bigWig'	'CM_control_ATAC_S165169_REP2.mLb.clN.bigWig'	'SH_24h_ATAC_S165164_REP1.mLb.clN.bigWig'	'SH_24h_ATAC_S165164_REP2.mLb.clN.bigWig'	'SH_48h_ATAC_S165165_REP1.mLb.clN.bigWig'	'SH_48h_ATAC_S165165_REP2.mLb.clN.bigWig'	'SH_control_ATAC_S165166_REP1.mLb.clN.bigWig'	'SH_control_ATAC_S165166_REP2.mLb.clN.bigWig'
1	7476147	7512151	0.12030692147	0.113619573547	0.0911085588193	0.0809895395155	0.0955268804678	0.121849899194	0.102625558767	0.118007917321	0.105657380914	0.103406553676	0.137496330805	0.121131345432
1	7551997	7595801	0.172492958642	0.131795276618	0.111695171778	0.107379081823	0.122345668316	0.100973603033	0.121830887709	0.114472383565	0.102095900715	0.104130996549	0.104820612561	0.0955569338368
1	7609847	7644451	0.170853080687	0.169772138211	0.112690924363	0.126857046155	0.116885738836	0.15126799729	0.103998315208	0.133569368209	0.112648668091	0.108175423091	0.11517487604	0.0947933721338
1	15156730	15227451	0.140032817345	0.177655438029	0.0891587240458	0.10863749285	0.145218072741	0.1109458279	0.185803724864	0.229948067549	0.235807375846	0.199976634657	0.179234780254	0.246741468056
1	27529147	27573351	0.28035943528	0.233987403771	0.173066862324	0.177650466774	0.226823372093	0.228404429362	0.239425301859	0.260646548577	0.31158654668	0.312611080132	0.371750968323	0.352855802141
1	49044247	49053001	0.33129651517	0.263947322585	0.21936987304	0.192963240387	0.265453685519	0.185853288739	0.378848856872	0.310693077039	0.394497141187	0.42121054535	0.352856497372	0.277939737449
1	60857547	60961651	0.139422603358	0.153915068047	0.0985303422538	0.0912742305838	0.0988287168057	0.11118487097	0.13923085647	0.14291599809	0.128279733505	0.126966640464	0.116125559501	0.127488045284
1	83691447	83717301	0.262845882152	0.304490895899	0.166835564855	0.200044334082	0.251682404379	0.163726306268	0.150630709468	0.219032571023	0.174662795509	0.14228015156	0.155776031083	0.186629760392
1	89682797	89720051	0.105164269576	0.0968305067976	0.0859591718054	0.0735603254172	0.105316000049	0.0977374987266	0.13385644071	0.168170788151	0.114143143463	0.115937049076	0.0950799622034	0.0953565197046
1	95306197	95326401	0.145078885507	0.125686581221	0.109369250424	0.104748160157	0.124219296389	0.151358375061	0.168048248001	0.133849947187	0.119096770476	0.107909450089	0.12003489897	0.104180460572
