#'chr'	'start'	'end'	'CM_DMSO_ctrl_rep1_REP1.mLb.clN.bigWig'	'CM_DMSO_ctrl_rep2_REP1.mLb.clN.bigWig'	'CM_24h_rep1_REP1.mLb.clN.bigWig'	'CM_24h_rep2_REP1.mLb.clN.bigWig'	'CM_48h_rep1_REP1.mLb.clN.bigWig'	'CM_48h_rep2_REP1.mLb.clN.bigWig'	'SH_DMSO_ctrl_rep1_REP1.mLb.clN.bigWig'	'SH_DMSO_ctrl_rep2_REP1.mLb.clN.bigWig'	'SH_24h_rep1_REP1.mLb.clN.bigWig'	'SH_24h_rep2_REP1.mLb.clN.bigWig'	'SH_48h_rep1_REP1.mLb.clN.bigWig'	'SH_48h_rep2_REP1.mLb.clN.bigWig'
11	8704047	8734001	0.34029701907499926	0.24196314147375006	0.27147139314255464	0.2637683165622229	0.5114620506042322	0.23714016698972956	0.22643323181465433	0.20145328266809134	0.1817945314615924	0.16313993938838686	0.17873368653468535	0.21664418994083606
11	9564747	9593851	0.43992683214017614	0.32342527056880194	0.37858089387008836	0.3407716837753238	0.589508068339197	0.29822445917495455	0.29189200299381407	0.282106483019094	0.2691449548497284	0.28247764837038597	0.2817194414344612	0.3824687974043783
11	12156847	12238251	0.4253116936636584	0.196190157671151	0.2938821641784718	0.2416028544744828	0.505110595122728	0.21003506014371762	0.22613166993635067	0.19227426621984506	0.16530336376044327	0.1179593152681096	0.14417535205985121	0.2048463506734762
11	57764759	57800701	0.3015758451280488	0.15580626469283346	0.21198544000781827	0.15269559704852934	0.3830484907210169	0.1524386150556402	0.17260045712747252	0.17829212899357874	0.1248163890270252	0.14884960380402676	0.16338087154638664	0.2590626276867371
11	65471697	65503201	0.9865547925824663	0.5355016086824258	0.8161154071490496	0.6336465158534695	1.1432197614883453	0.5787071359820269	0.6641210758825441	0.7267734205870959	0.5178966804003184	0.5993919785445406	0.46918253585904535	0.9153350977485191
11	66066197	66134001	0.21329671866663547	0.12465482119976119	0.1442677023198398	0.13944997990584962	0.22323799293258062	0.12307635860595746	0.1886368146059579	0.19221703913465715	0.16297648183016328	0.16669744777659615	0.15930096142629757	0.23062288988885257
11	74121747	74163301	0.17565297549463238	0.07353022372664668	0.09975005368127055	0.07216053959324902	0.2032699874846937	0.09163216591673162	0.16745910061106764	0.1368687895190413	0.11433805661781195	0.09594482237629648	0.12321534879830347	0.19225579534870305
11	86717847	86763301	0.3098379140132464	0.2321409280572041	0.24193710331458906	0.2609805715904413	0.40436241556338764	0.21676572106832737	0.21572375311771824	0.19315585504064225	0.1626076222833794	0.12433996178237403	0.1611576813190161	0.20591306011047675
11	96045247	96167601	0.1768956390170011	0.1290159950783315	0.11343546300686484	0.12213876164176315	0.19217108177223788	0.13070170549467544	0.15964996919422464	0.1388893992149265	0.12962181282242738	0.10519047189040108	0.12249935920597994	0.14670653421816196
11	96186547	96338436	0.21365397462740507	0.11833954555553608	0.16001678609057388	0.129628679665195	0.3096350912691933	0.11830078907780178	0.18490874501804852	0.16649545089580392	0.15479192632017483	0.1394743713739709	0.14914450299075596	0.20804655152031565
